session_id,start_utc,start_local,end_utc,end_local,tz_offset,hour_local,day_of_week,duration_min,is_after_2pm,is_subagent,user_messages,assistant_turns,tool_uses,tool_results,total_input_tokens,total_output_tokens,total_cache_read_tokens,total_cache_creation_tokens,avg_input_per_turn,avg_output_per_turn,cache_hit_rate,models_used,primary_model,service_tiers,inference_geos,speed_modes,avg_user_msg_length,median_user_msg_length,avg_assistant_text_length,median_assistant_text_length,avg_thinking_length,thinking_depth_ratio,empty_responses,abandoned_frustrated,tool_success_rate,tool_loops,short_user_msgs,correction_signals,frustration_signals,consecutive_corrections,question_marks_from_user,exclamation_marks_from_user,user_msgs_under_10_chars,user_msgs_under_30_chars,stop_reasons,end_turn_count,tool_use_stop_count,max_tokens_count,unique_tools_used,tool_names,advisor_calls,system_events,compact_boundaries,hook_errors,session_entries_total,turns_per_minute,tokens_per_minute,output_tokens_per_user_msg,is_short_session,is_fragmented
4641fda5e7ef,2026-01-30T07:01:15.226000+00:00,2026-01-30 17:01:15,2026-01-30T07:01:54.741000+00:00,2026-01-30 17:01:54,+10:00,17,Friday,0.7,1,1,1,22,12,0,70,64,461107,81097,3.0,3.0,85.0,claude-haiku-4-5-20251001:22,claude-haiku-4-5-20251001,standard,unknown,unknown,608,608,601,89.0,0,0.0,13,0,0.0,3,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,48,33.41,203.0,64.0,1,1
ef4dcf1b90be,2026-01-30T07:15:49.336000+00:00,2026-01-30 17:15:49,2026-01-30T07:16:53.226000+00:00,2026-01-30 17:16:53,+10:00,17,Friday,1.1,1,1,1,33,21,0,2210,92,1147308,174861,67.0,3.0,86.8,claude-haiku-4-5-20251001:33,claude-haiku-4-5-20251001,standard,unknown,unknown,460,460,727.0,88.0,0,0.0,21,0,0.0,4,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,77,30.99,2162.0,92.0,1,1
c568d9d663b1,2026-01-30T07:15:49.344000+00:00,2026-01-30 17:15:49,2026-01-30T07:16:44.836000+00:00,2026-01-30 17:16:44,+10:00,17,Friday,0.9,1,1,1,33,23,0,152,63,714236,188016,5.0,2.0,79.2,claude-haiku-4-5-20251001:33,claude-haiku-4-5-20251001,standard,unknown,unknown,443,443,998.0,88.0,0,0.0,23,0,0.0,6,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,81,35.68,232.0,63.0,1,1
d927a1b6636d,2026-01-30T07:51:24.126000+00:00,2026-01-30 17:51:24,2026-01-30T07:51:59.355000+00:00,2026-01-30 17:51:59,+10:00,17,Friday,0.6,1,1,1,19,12,0,84,76,448625,56190,4.0,4.0,88.9,claude-haiku-4-5-20251001:19,claude-haiku-4-5-20251001,standard,unknown,unknown,539,539,783,100,0,0.0,12,0,0.0,2,0,0,0,0,3,0,0,0,,0,0,0,3,Bash|Glob|Read,0,0,0,0,48,32.36,273.0,76.0,1,1
697419bb519a,2026-01-30T07:52:31.447000+00:00,2026-01-30 17:52:31,2026-01-30T07:54:45.504000+00:00,2026-01-30 17:54:45,+10:00,17,Friday,2.2,1,1,1,58,38,3,6341,145,1628337,123471,109.0,2.0,93.0,claude-haiku-4-5-20251001:58,claude-haiku-4-5-20251001,standard,unknown,unknown,534,534,436.0,102.0,0,0.0,40,0,7.9,9,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,155,25.96,2903.0,145.0,1,1
d80002e58d18,2026-01-30T07:55:20.129000+00:00,2026-01-30 17:55:20,2026-01-30T07:56:15.207000+00:00,2026-01-30 17:56:15,+10:00,17,Friday,0.9,1,1,1,48,38,0,1758,109,1071329,113411,37.0,2.0,90.4,claude-haiku-4-5-20251001:48,claude-haiku-4-5-20251001,standard,unknown,unknown,750,750,456.0,72.0,0,0.0,40,0,0.0,12,0,0,0,0,0,0,0,0,,0,0,0,2,Bash|Glob,0,0,0,0,160,52.29,2034.0,109.0,1,1
fe92d0ee4fa5,2026-01-30T07:58:14.370000+00:00,2026-01-30 17:58:14,2026-01-30T07:59:00.264000+00:00,2026-01-30 17:59:00,+10:00,17,Friday,0.8,1,1,1,24,18,0,144,78,583744,240831,6.0,3.0,70.8,claude-haiku-4-5-20251001:24,claude-haiku-4-5-20251001,standard,unknown,unknown,1312,1312,1541,108.0,0,0.0,19,0,0.0,4,0,0,0,0,0,0,0,0,,0,0,0,3,Glob|Grep|Read,0,0,0,0,61,31.38,290.0,78.0,1,1
8a50e5682925,2026-01-30T08:13:04.172000+00:00,2026-01-30 18:13:04,2026-01-30T08:13:14.654000+00:00,2026-01-30 18:13:14,+10:00,18,Friday,0.2,1,1,1,10,6,0,56,13,151107,18746,6.0,1.0,89.0,claude-haiku-4-5-20251001:10,claude-haiku-4-5-20251001,standard,unknown,unknown,330,330,507.0,100.0,0,0.0,6,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,24,57.24,395.0,13.0,1,1
47877978cfc9,2026-01-30T08:38:06.707000+00:00,2026-01-30 18:38:06,2026-01-30T08:38:24.251000+00:00,2026-01-30 18:38:24,+10:00,18,Friday,0.3,1,1,1,19,15,0,117,42,296588,51563,6.0,2.0,85.2,claude-haiku-4-5-20251001:19,claude-haiku-4-5-20251001,standard,unknown,unknown,330,330,798.0,102.0,0,0.0,15,0,0.0,3,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,52,64.98,544.0,42.0,1,1
6295c9580be2,2026-01-30T08:44:43.572000+00:00,2026-01-30 18:44:43,2026-01-30T08:46:04.142000+00:00,2026-01-30 18:46:04,+10:00,18,Friday,1.3,1,1,1,29,19,0,135,29,926275,182149,5.0,1.0,83.6,claude-haiku-4-5-20251001:29,claude-haiku-4-5-20251001,standard,unknown,unknown,620,620,1854.0,81.0,0,0.0,19,0,0.0,5,0,0,0,0,0,0,0,0,,0,0,0,2,Bash|Read,0,0,0,0,70,21.6,122.0,29.0,1,1
80af0f0362b4,2026-01-30T08:50:45.822000+00:00,2026-01-30 18:50:45,2026-01-30T08:50:48.656000+00:00,2026-01-30 18:50:48,+10:00,18,Friday,0.0,1,1,1,2,0,0,4,2,124274,1304,2.0,1.0,99.0,claude-opus-4-5-20251101:2,claude-opus-4-5-20251101,standard,unknown,unknown,1099,1099,786,786.0,0,0.0,1,1,0.0,0,0,1,1,0,2,0,0,0,,0,0,0,0,,0,0,0,0,3,20.0,60.0,2.0,1,1
